problem_id,problem,correct,difficulty,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instr_text.started,instr_key.started,instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,fixation.started,fix.started,fixation.stopped,trial.started,problem_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
20,11 -1 = 15,f,easy,11,11,0,f,1,2.6320449,None,0,11,11,19,99.7902956,,,,,,,,,99.7751327,99.7902956,100.2752279,100.2808154,100.2900207,100.2900207,102.9237296,f,1,2.6320449,None,,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
3,9 + 1= 10,t,easy,13,13,0,t,1,1.7847673,None,0,13,13,2,112.7345822,,,,,,,,,112.7192057,112.7345822,113.2187922,113.222542,113.2342387,113.2342387,115.034486,t,1,1.7847673,None,113.2342387,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
11,8 - 3 = 4,f,easy,14,14,0,f,1,3.2886641,None,0,14,14,10,115.0505095,,,,,,,,,115.0348064,115.0505095,115.5347296,115.5403858,115.5498526,115.5498526,118.8504906,f,1,3.2886641,None,115.5498526,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
35,(48 ÷ 6) + 10 = 20,f,hard,15,15,0,f,1,11.5308855,None,0,15,15,34,118.8687902,,,,,,,,,118.8509669,118.8687902,119.365893,119.3725938,119.3817288,119.3817288,130.927635,f,1,11.5308855,None,,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
15,4 + 9 = 10,f,easy,17,17,0,f,1,4.0310465,None,0,17,17,14,138.023998,,,,,,,,,138.0081395,138.023998,138.5079261,138.5141167,138.5236725,138.5236725,142.55639,f,1,4.0310465,None,138.5236725,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
7,3 + 6 = 9,t,easy,18,18,0,t,1,1.9280733,None,0,18,18,6,142.5721314,,,,,,,,,142.5566984,142.5721314,143.055897,143.0603891,143.0719588,143.0719588,145.0053153,t,1,1.9280733,None,143.0719588,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
6,10 -2 = 8,t,easy,19,19,0,t,1,1.9159029,None,0,19,19,5,145.0209723,,,,,,,,,145.005647,145.0209723,145.5048796,145.5088596,145.5207827,145.5207827,147.4532282,t,1,1.9159029,None,145.5207827,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
10,2 x 5 =10,t,easy,20,20,0,t,1,1.6273361,None,0,20,20,9,147.469161,,,,,,,,,147.4534113,147.469161,147.9536564,147.9576783,147.9696858,147.9696858,149.6030727,t,1,1.6273361,None,147.9696858,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
5,4 + 4 = 8,t,easy,21,21,0,t,1,2.0205516,None,0,21,21,4,149.6185192,,,,,,,,,149.6033551,149.6185192,150.1031912,150.1076729,150.1188613,150.1188613,152.1528454,t,1,2.0205516,None,150.1188613,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
36,(14 + 16) ÷ 2 = 18,f,hard,22,22,0,f,1,5.8192158,None,0,22,22,35,152.1678163,,,,,,,,,152.1534468,152.1678163,152.6519126,152.6571901,152.6674888,152.6674888,158.4998056,f,1,5.8192158,None,152.6674888,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
38,(36 − 9) ÷ 3 = 8,f,hard,23,23,0,f,1,15.5175242,None,0,23,23,37,158.5152467,,,,,,,,,158.5002423,158.5152467,158.9993931,159.0040519,159.0157528,159.0157528,174.5426046,f,1,15.5175242,None,159.0157528,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
16,10 -7 = 1,f,easy,24,24,0,f,1,2.3501967,None,0,24,24,15,174.5582089,,,,,,,,,174.5430078,174.5582089,175.0421219,175.0481749,175.0580325,175.0580325,177.4246703,f,1,2.3501967,None,175.0580325,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
19,2 x 4 = 12,f,easy,25,25,0,f,1,3.1381458,None,0,25,25,18,177.4402729,,,,,,,,,177.4249589,177.4402729,177.9237345,177.9320726,177.9397436,177.9397436,181.08984,f,1,3.1381458,None,177.9397436,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
26,(17 × 3) − 8 = 43,t,hard,26,26,0,t,1,19.4246099,None,0,26,26,25,181.1053229,,,,,,,,,181.0902179,181.1053229,181.5896558,181.5970412,181.6051136,181.6051136,201.0314056,t,1,19.4246099,None,181.6051136,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
39,(40 ÷ 5) + 9 = 20,f,hard,28,28,0,f,1,8.6708549,None,0,28,28,38,212.391927,,,,,,,,,212.3760501,212.391927,212.8755313,212.8799932,212.8916364,212.8916364,221.5722248,f,1,8.6708549,None,212.8916364,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
37,(21 × 3) − 15 = 50,f,hard,29,29,0,f,1,7.2922852,None,0,29,29,36,221.5876616,,,,,,,,,221.5725105,221.5876616,222.0720683,222.0775908,222.0877028,222.0877028,229.3847433,f,1,7.2922852,None,222.0877028,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
9,12 - 4 = 8,t,easy,30,30,0,t,1,2.1978657,None,0,30,30,8,229.4008013,,,,,,,,,229.385104,229.4008013,229.8848897,229.8908052,229.9012888,229.9012888,232.1006898,t,1,2.1978657,None,229.9012888,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
12,7 + 3 = 15,f,easy,31,31,0,f,1,2.7071259,None,0,31,31,11,232.1164632,,,,,,,,,232.1010247,232.1164632,232.6001042,232.6053215,232.6191387,232.6191387,235.333106,f,1,2.7071259,None,232.6191387,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
22,(28 ÷ 4) + 7 = 14,t,hard,32,32,0,t,1,4.273879,None,0,32,32,21,235.3486316,,,,,,,,,235.3334833,235.3486316,235.832398,235.8376623,235.8487131,235.8487131,240.1305121,t,1,4.273879,None,235.8487131,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
4,6 x 2 = 12,t,easy,33,33,0,t,1,1.4239618,None,0,33,33,3,240.1466866,,,,,,,,,240.130913,240.1466866,240.6306265,240.6356984,240.6460357,240.6460357,242.0802134,t,1,1.4239618,None,240.6460357,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
33,(20 ÷ 5) + 18 = 30,f,hard,34,34,0,f,1,6.0502892,None,0,34,34,32,242.0957875,,,,,,,,,242.0806568,242.0957875,242.5790631,242.5831651,242.5957827,242.5957827,248.660788,f,1,6.0502892,None,242.5957827,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
30,(6 × 8) + 10 = 58,t,hard,35,35,0,t,1,8.2243243,None,0,35,35,29,248.6762916,,,,,,,,,248.6611925,248.6762916,249.1597739,249.1639731,249.1756517,249.1756517,257.4071147,t,1,8.2243243,None,249.1756517,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
17,3 + 3 = 10,f,easy,36,36,0,f,1,1.4191026,None,0,36,36,16,257.4225608,,,,,,,,,257.4075671,257.4225608,257.9057749,257.9117974,257.9215779,257.9215779,259.3569412,f,1,1.4191026,None,257.9215779,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
40,(6 × 8) + 10 = 60,f,hard,38,38,0,f,1,8.5868569,None,0,38,38,39,266.3017449,,,,,,,,,266.2869816,266.3017449,266.7865463,266.7922189,266.801633,266.801633,275.3991535,f,1,8.5868569,None,266.801633,participant 3,1,2025-11-21_00h13.16.195,solo project,,2025.1.1,60.0694042,2025-11-21 00h13.44.424281 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easy rt,hard rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1792617,12.4193139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2583812,10.2086042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1033061,17.6829268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2713021,8.3297926,,mean rt easy,,2.584617263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8306917,11.5308855,,mean  rt hard,,10.28795446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6320449,5.8192158,,diffrence,,7.703337194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7847673,15.5175242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2886641,19.4246099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0310465,8.6708549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9280733,7.2922852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9159029,4.273879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6273361,6.0502892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0205516,8.2243243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3501967,8.5868569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1381458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1978657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7071259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4239618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4191026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
